TUESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
D-22 Academic Block II (50),"DS BDS-3A
Farooq Zaidi","IS BCS-7J	
Yusra Kaleem","COAL BCS-3H
Shoaib Rauf ","IST BCS-1J
Dr. Hassan Saeed","Intro to D. Sci BDS-3B
Mahrukh Khan","DS BCS-3C
Farrukh Hasan Syed","DS BCS-3C
Farrukh Hasan Syed","AP BCS-1H
Ishtiaq Ahmed",
D-23 Academic Block II (50),"TOA BCS-3E
Abeeha Sattar ","COAL BCS-3J	
Dr. Rabia Tabassum ","LA BSE-3A
Nadeem Khan","FOA BDS-3B (A,B+ AI)
Aleena Fayyaz","DAA BSE-5A
Fizza Mansoor","Discrete BCS-3A
Dr. Nouman Durrani",,"DS BAI-3A
Sania Urooj",
D-24 Academic Block II (50),"LA BSE-3B
Nadeem Khan","COAL BSE-3A
 Shoaib Rauf","COAL BAI-3A
Ubaidullah","FOM BDS-3B (A,B+ AI)
Dr. Mohsin","Reserved for Mr Ishtiaq Ahmed
Nov 18 ICP 1F","FE BAI-1A
Nazia Imam",PST BSEE-3B                                            Ms. Aliya Zahid Bhatti,PST BSEE-3B                                            Ms. Aliya Zahid Bhatti,
D-25 Academic Block II (50),"DS BCY-3A
Nouman Rajput","DS BCS-3E
Basit Jasani ","DS BCS-3F
Basit Jasani ","POE BDS-3B (A,B+ AI)
Museara Bhutto","IST BCS-1E
Dr. Hassan Saeed",,"LA BCS-3F
Urooj","PF BAI-1C
Talha Shahid","LA BDS-3A
Nadeem Khan"
D-26 Academic Block II (50),"COAL BCS-3F
Ubaidullah ","Discrete BCY-3A
Mahrukh Khan",,"TOA BCS-3F
Abeeha Sattar","CAL BCS-1D
Shahid Ashraf",,,"CAL BCS-1B
Shahid Ashraf","ICP BCS-1A
Khushboo"
D-27 Academic Block II (50),"IST BCS-1A
Abdul Muqtadir (VF)","IST BCS-1A
Abdul Muqtadir (VF)","COAL BCS-3C
Dr. Rabia Tabassum ","COAL BCS-3A
 Aashir Mehboob ","ICP BCS-1F
Muhammad Adeel","PAI BAI-3A
Talha Shahid","COAL BSE-3A
 Shoaib Rauf","AP BCS-1C
Muhammad Rahim","IST BCS-1B
Farhan Ali Memon"
D-28 Academic Block II (50),"ICP BCS-1G
Khushboo","CAL BCS-1E
Shahid Ashraf","Intro to D. Sci BDS-3A
Mahrukh Khan","Psych BCS-3E (G,H)
Aqsa Fayyaz","FE BCS-1H
Javeria Ali Wadho","FE BCS-1H
Javeria Ali Wadho",,"IST BCS-1D
Farhan Ali Memon",
E-29Academic Block II (52),"Reserved for Ms Nazia Imam
Nov 18 TBW 5AI","PF BCS-1J
Syed Ahmed Khan","AP BCS-1E
Muhammad Rahim","Psych BCS-3F (J,K)
Faiza Iqbal","CAL BCS-1J
Asma Masood","COAL BSE-3B
Dr. Shakil",,"FE BCS-1F
Qurat ul Ain",
E-30 Academic Block II (52),"IST BCS-1K
Abdullah Siddqui","CAL BCS-1K
Asma Masood","PF BSE-1A
Fizza Mansoor","Socio BCS-3C (G,H,J)
Kauser Malik","ICP BCS-1K
Jahan Ara (VF)","CAL BCS-1G
Syed Ashad Ali","Reserved for Ms Sana Naz 
Nov 18 BAI-1B Mid II Review","AP BAI-1B
Sana","PF BCS-1F
Saif ur Rehman"
E-31 Academic Block II (52),"PF BAI-1A
Talha Shahid","AP BAI-1A
Sana","PF BCS-1G
Saif ur Rehman","ICP BCS-1E
Khushboo","IST BAI-1A
Abdullah Siddqui","AP BCS-1B
Ishtiaq Ahmed","IST BCS-1G
Abdullah Siddqui",,"IST BAI-1B
Abdullah Siddqui"
E-32 Academic Block II (52),"PF BAI-1B
Syed Faisal Ali","CAL BAI-1B
Alishba Tariq","ICP BCS-1J
Jahan Ara (VF)","AP BCS-1G
Muhammad Rahim","AP BAI-1C
Sana","PF BCS-1C
Abeeha Sattar","CAL BAI-1C
Alishba Tariq",,
E-33 Academic Block II (52),"IST BSE-1A
 Imad Uddin","AP BSE-1A
Miqdad Khan","Reserved for Ms Sana
Naz Nov 18 Mid II
Review BAI-1A","CAL BAI-1A
Alishba Tariq","CAL BSE-1A
Syed Ashad Ali","CAL BCS-1F
Asma Masood",,"AP BSE-1B
Miqdad Khan",
E-34 Academic Block II (52),"PF BCY-1A
Abuzar Zafar","PPIT BSE-7B
Rabia Ali Khan (VF)","IST BCY-1A
 Imad Uddin",,"CAL BSE-1B
 Rabia Sagheer",,"AP BCS-1D
Ishtiaq Ahmed",,"IST BCY-1B
 Imad Uddin"
E-35 Academic Block II (52),"PF BCY-1B
Uzma Raza (VF)","PF BCY-1B
Uzma Raza (VF)",,"FE BDS-1A
 Wajiha Akber","PF BDS-1A
Talha Shahid","PF BSE-1B
Fizza Mansoor","AP BDS-1A
Miqdad Khan ","ICP BCY-1B
Jahan Ara (VF)",
LLC Academic Block I (R7) (50),"FE Lab BCS-1C
Khadija Shireen",,,"FE Lab BAI-1B
Madiha Rehman",,,Reserved for 25 Nov ACM W,,
C-20 Academic Block II (50),"FE Lab BAI-1C
Madiha Rehman",,,"FE Lab BCY-1A
Qurat ul Ain",,,"FE Lab BSE-1A
Maimoona",,
Eng Lang Room Academic Block II (50),"FE Lab BCS-1B
Mariam Aftab",,,Reserved for PROCOM Team Meeting 18 Nov,,,"FE Lab BCS-1K
Javeriya Ahmed",,
S-2 Academic Block I (100),Reserved for Ms Saeeda Kanwal 2nd Slot 25 Nov + Rerseved for ACM Coders Cup 2025 Nov 18 from 8 to 1 PM + Reserved for ACM W 25 Nov From 10 to 4,,,,,,  Reserved for ACM CY 18 Nov From 2:00 to 4:00 PM,,
COMPUTING LABS,,,,,,,,,
