FRIDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
Academic Block II DS LAB-6 (52),"DS Lab BCS-3K
Muhammad Owais",,,"Reserved for ACM Coders Cup 2025 Nov  21 
Reserved for Mr Muhammad Owais Lab Final  Dec 05",,,"FM Lab BSBA-5A
Zehra ",,
Academic Block II LAB-7 (45),,,,Reserved for ACM Coders Cup 2025 Nov  21,,,"DS Lab BCY-3A
Sheeraz Iqbal",,
Academic Block II CY LAB-8 (49),"PF Lab BSE-1B
Izzah Salam",,,"COAL Lab BCS-3A
Ghulam Qadir ",,,"DS Lab BCS-3J
 Fareeha Jabeen",,
Academic Block II AI/ML LAB-9 (47),"ICT Lab BCS-1D
Syeda Tehreem Gillani",,,"PAI Lab BAI-3A 
Muhammad Khalid",,,"DCNet lab BSEE-5A
Dr. Haider Mehdi",,
Academic Block II LAB-10 (44),"PF Lab BCS-1B
Seema Hashwani ",,,"PF Lab BAI-1A
Ramsha Jatt",,,"ICT Lab BCS-1G
Osama Tahir",,
Academic Block II LAB-11 (46),"OS Lab BCS-7A
Sameer Faisal",,,"Engineering Drawing lab BSEE-1B
Engr. Aamir Ali",,,"PF lab BSEE-3AB
Engr. Mariam",,
Academic Block II Lab-12 (47),"PF Lab BCS-1K
Sheeraz Iqbal",,,Reserved for ACM Coders Cup 2025 Nov  21,,,"OOP Lab BCS-3B
Izzah Salam",,
Academic Block II Lab-13 (47),"PF Lab BAI-1C
Huzaifa Jawad (VF)",,,Reserved for ACM Coders Cup 2025 Nov  21,,,,,
Academic Block II Lab-14 (43),,,,Reserved for ACM Coders Cup 2025 Nov 21,,,,,
ENGINEERING LABS,,,,,,,,,
Academic Block II Microprocessor and Interfacing Lab,,,,,,,,,
Academic Block II Electronics Lab,,,,,,,"Electronic Devices and Circuits lab BSEE-3C
Engr. Bushra",,
Academic Block II Engineering Workshop Lab,,,,,,,,,
Academic Block II Electromechanical Systems Lab,,,,,,,,,
Academic Block II Power Lab,,,,,,,,,
Academic Block II Physics Lab,"Applied Physics lab BSCE-1A
Engr. Mariam",,,Reserved for Mr Zohaib Ahmed Nov 21 + 28 Applied Physics – Section A,,,,,
