TUESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
B-11 Academic Block II (53)," MBR BSBA-6A
Dr. Mushtaq Ahmed "," MBR BSBA-6A
Dr. Mushtaq Ahmed ","MADM BSBA-6A
Umer Farooq ","WB BSFT-6A
Sindhu ","MLBA BSBA-6A
Madiha Aslam ","BL BSFT-6A
Umer Farooq",,"BL BSFT-6A
Umer Farooq","WB BSFT-6A
Sindhu "
C-12 Academic Block II (50),,LCA BSEE-2A                                           Engr. Muhammad Ahsan Khan,LCA BSCE-2A Engr. Muhammad Ahsan Khan,"EE1005-DLD BCS-2H
Javed Qureshi",LCA BSCE-2B + BSEE-2C Engr. Muhammad Ahsan Khan,LCA BSEE-2B                                                                                                                      Engr. Muhammad Ahsan Khan,,,
C-13 Academic Block II (50),FCS BSEE-6AB                                                                 Dr. Juniad Rabbani,FCS BSEE-6AB                                                                 Dr. Juniad Rabbani,FCS BSEE-6AB                                                                 Dr. Juniad Rabbani,EBD BSEE-6AB                                                                 Engr. Haris Mohsin,EE BSEE-6AB                                                                              Dr. Burhan Khan,Prog. for Engrs. BSEE-2A                                                                             Dr. Burhan Khan,Prog. for Engrs. BSEE-2A                                                                             Dr. Burhan Khan,CCE BSEE-2B                                                                             Dr. Wajiha Raheeq,CCE BSEE-2B                                                                             Dr. Wajiha Raheeq
C-14 Academic Block II (50),DE BSEE-2B                                                                 Engr. Aamir Ali,UoQ BSCE-2B                                         Dr. Shahzad,UoQ BSCE-2B                                         Dr. Shahzad,DE BSEE-2B                                                                 Engr. Aamir Ali,,BME BSEE-6AB                                           Engr. M. Amjad,,PST BSEE-2C + BSCE-2B                                           Ms. Khusboo,
C-15 Academic Block II (50),,DLD BSEE-4B                                          Engr. Sadaf Ayesha,PST BSEE-2A                                           Ms. Khusboo,PST BSEE-2A                                           Ms. Khusboo,UoQ BSCE-2A                                         Dr. Shahzad,UoQ BSCE-2A                                         Dr. Shahzad,PST BSCE-2A                                         Ms. Khusboo,"PST  BSFT-4B
Dr. Shahnawaz Khan","PST  BSFT-4B
Dr. Shahnawaz Khan"
C-16 Academic Block II (50),"CS2005-DBS BCS-4E
Zainab Asif","MT2005-Prob BCS-4B
Dr. Khusro Mian","CS2005-DBS BCS-4G
Zainab Asif","CS2005-DBS BCS-4G
Zainab Asif","CS2006-OS BCS-4C
Rabia Ahmed Ansari","AI2002-AI BCS-4C
Dr. Shakil","CS2005-DBS BCS-4C
Hajra Ahmed",,"CS3004-SDA BCS-4C
Syed Ahmed Khan"
C-17 Academic Block II (59),"CS2006-OS BCS-4G
Syed Faisal Ali","EE1005-DLD BCS-2J
Shahar bano","MT2005-Prob BCS-4H
Nadeem Arif Khan","MT2005-Prob BCS-4D
Nadeem Arif Khan",,"AI2002-AI BCS-4D
Abeeha Sattar","SS1015-PST BCS-4D
Afshan Hakim (VF)","CS2006-OS BCS-4F
Rabia Ahmed Ansari",
C-18 Academic Block II (50),"CS3004-SDA BCS-4H
Jibran Rasheed Khan","SS1015-PST BSE-4A
Fatheia Khan (VF)","SS1015-PST BSE-4B
Fatheia Khan (VF)","CS2005-DBS BSE-4A
Dr. Anam Qureshi","CS2006-OS BSE-4A
Zulfiqar Rafique",,,"CS2004-FSE BDS-4B
Sania Urooj","CS2005-DBS BDS-4B
Sameer Faisal"
C-19 Academic Block II (50),"CS2005-DBS BCS-4J
Shoaib Rauf","SE 2002-SDA BSE-4B
Rubab Manzar","CS2005-DBS BCS-4F
Shoaib Rauf","MT2005-Prob BCS-4F
Alishba Tariq","CS3004-SDA BCS-4B
Mahrukh Khan","CS2006-OS BCS-4A
Dr. Ghufran Ahmed","CS2006-OS BCS-4A
Dr. Ghufran Ahmed","CS2006-OS BCS-4E
Minhal Raza","CS2005-DBS BCS-4A
Basit Jasani"
C-21 Academic Block II (50),"AI2002-AI BCS-4K
Farooq Zaidi","CS2009-DAA BCY-4A
Sandesh Kumar","AI2002-AI BCS-4J
Dr. Shakil","CS3004-SDA BCS-4J
Jibran Rasheed Khan","MT2005-Prob BCS-4J
Dr. Khusro Mian",,,"CS2006-OS BCS-4H
Zulfiqar Rafique",
D-22 Academic Block II (50),"MT2005-Prob BSE-4A
Uzma Saleh","CS2006-OS BAI-4A
Saeeda Kanwal",,"AI2002-AI BCS-4A
Dr. Shakil","CS3004-SDA BCS-4F
Syed Ahmed Khan","CS3004-SDA BCS-4F
Syed Ahmed Khan",,,"CS2006-OS BCS-4D
Dr. Ghufran Ahmed"
D-23 Academic Block II (50),,"CS2005-DBS BDS-4A
Sameer Faisal",,"CS2006-OS BSE-4B
Zulfiqar Rafique","SS2034 - Arabic Lang. BDS-4A
Abdullah Siddiqui","CS2004-FSE BDS-4B
Sania Urooj","MT2005-Prob BSE-4B
Uzma Saleh",,
D-24 Academic Block II (50),"CS1004-OOP BCS-2H
Ubaidullah","EE1005-DLD BCS-2D
Muhammad Rahim","MT2005-Prob BCY-4A
Syed Ashad","SS2012-TBW BCY-4A
Javeria Ali Wadho","SS2034 - Arabic Lang. BDS-4B
Immad Uddin","CS3001-CN BCY-4A
Shoaib Raza ",,"CS3004-SDA BCS-4K
Ahmed Qaiser (VF)","CS3004-SDA BCS-4K
Ahmed Qaiser (VF)"
D-25 Academic Block II (50),"CS1004-OOP BCS-2B
Ghulam Qadir ","SS1014-EW BCS-2B
 Atifa Batool","MT2005-Prob BAI-4A
Alishba Tariq","CS2004-FSE BDS-4A
Sania Urooj","CS2004-FSE BAI-4A
Mahrukh Khan","CS2004-FSE BAI-4A
Mahrukh Khan",,,"CS1004-OOP BDS-2A
Saif ur Rehman"
D-26 Academic Block II (50),"CS1004-OOP BCS-2F
Sumaiya Zahid",,,"CS2006-OS BCS-4B
Minhal Raza",,,,,"EE1005-DLD BCS-2A
Dr. Rabia Tabassum"
D-27 Academic Block II (50),,"SS1019-UOS BCS-2G
Farhan Ali Memon",,"EE1005-DLD BCS-2B
Dr. Nouman Durrani","CS1004-OOP BCS-2A
Aashir Mahboob","SS1014-EW BCS-2A
 Atifa Batool",,"MT1008-MVC BCS-2A
Dr. Fahad Riaz","MT1008-MVC BCS-2F
Dr. Shahid Ashraf"
D-28 Academic Block II (50),"SS1015-PST BCS-4B
Afshan Hakim (VF)","SS1015-PST BCS-4E
Afshan Hakim (VF)","SS1014-EW BCS-2H
Wajiha Akber Durrani",,"SS1014-EW BCS-2J
Wajiha Akber Durrani","SS1015-PST BCS-2B
Muhammad Adeel","MT1008-MVC BCS-2B
Dr. Shahid Ashraf",,"EE1005-DLD BCS-2C
Sana Naz"
E-29Academic Block II (52),"SS1015-PST BCY-2B
Wajiha Najam (VF)","SS1014-EW BCS-2K
Wajiha Akber Durrani","MT1008-MVC BCY-2B
Dr. Shahid Ashraf",,"MT1008-MVC BCS-2C
Dr. Fahad Riaz","CS1004-OOP BCS-2C
Ubaidullah","SS1014-EW BCS-2C
 Atifa Batool",,"SS2043-CCE BCS-2D
Kauser Malik"
E-30 Academic Block II (52),"CS2006-OS BCS-4F
Rabia Ahmed Ansari","EE1005-DLD BSE-2A
Hira Tunio","SS1014-EW BCS-2F
Sharmeen Ismail","EE1005-DLD BCS-2K
Shahar bano","CS1004-OOP BCS-2K
Sumaiya Zahid","MT1008-MVC BCS-2D
Dr. Fahad Riaz","SS1015-PST BCS-2D
Mr. Muhammad Adeel","SS2043-CCE BCS-2D
Kauser Malik","SS1019-UOS BCS-2E
Farhan Ali Memon"
