WEDNESDAY,,,,,,,,,
Slots,1,2,3,4,5,6,7,8,9
C-21 Academic Block II (50),"CN BCS-5G
Dr. Ghufran Ahmed","RS BCS-5A (A-E)
Dr. Farrukh Shahid","DBS BCS-5G
Dr. Farrukh Salim","RS BCS-5A (A-E)
Dr. Farrukh Shahid","RS BCS-5B (F-J
Dr. Farrukh Shahid","PPIT BCS-7K
Syed Muhammad Saad (VF)",,,
D-22 Academic Block II (50),"ML BAI-5A
Sania Urooj","POE BSE-3A (A,B+CY)
Musera Bhutto","DBS BCS-5D
Shaikh Umair (Visiting)","FSPM BCS-5A (A-E)
Ubaid Aftab","FSPM BCS-5B (F-K)
Ubaid Aftab",,,,
D-23 Academic Block II (50),"DS BDS-3B
Farooq Zaidi","DS BCS-3A
 Dr. Jawwad Shamsi","LA BCS-3A
Dr. Fahad Riaz","OR BCS-5A (All)
Urooj","DAA BAI-5A
Dr. Kamran","DAA BAI-5A
Dr. Kamran",,,
D-24 Academic Block II (50),"Discrete BCS-3A
Dr. Nouman Durrani",AML BSEE-7AB Engr. Sadaf Ayesha,AML BSEE-7AB Engr. Sadaf Ayesha,"FOA BSFT-1E
Aleena Fayyaz ",,,,"Psych BCS-3A (A,B)
Aqsa Fayyaz",
D-25 Academic Block II (50),,"FOM BSE-3A (A,B+CY)
Aleena Fayyaz","PPIT BCY-7A
Asif Fazwani (VF)","TBW BCY-5A
Atifa Batool","LA BCS-3B
Urooj","LA BCS-3B
Urooj",,"Psych BCS-3B (B,C)
Faiza Iqbal",
D-26 Academic Block II (50),"Ethics BCS-1N2
Abdul Muqtadir (VF)","Ethics BCS-1N2
Abdul Muqtadir (VF) ","AC BSCE-1A 
Engr. Qurat ul Ain","AC BSCE-1A 
Engr. Qurat ul Ain",, b,,"Socio BCS-3A (A,B, C)
Kauser Malik","DS BCS-3C
Farrukh Hasan Syed"
D-27 Academic Block II (50),"Psych BCS-3E (G,H)
Aqsa Fayyaz","Psych BCS-3D (E,F)
Faiza Iqbal","PPIT BCS-7E
Yusra Kaleem","LA BCS-3E
Uzma Saleh","LA BCS-3E
Uzma Saleh","DS BCS-3E
Basit Jasani ","DS BCS-3E
Basit Jasani ",,
D-28 Academic Block II (50),"COAL BCS-3F
Ubaidullah ","Socio BCS-3B (D,E,F)
Kauser Malik","CT BSBA-3A
Faiza Iqbal ","PDC BCY-7A
Farooq Zaidi","COAL BCS-3A
 Aashir Mehboob ","Discrete BCS-3C
Dr. Nouman Durrani","Discrete BCS-3F
Dr. Nouman Durrani","DS BCS-3F
Basit Jasani ",
E-29Academic Block II (52),"COAL BSE-3B
Dr. Shakil","Psych BCS-3C (D,E)
Aqsa Fayyaz",,"LA BSE-3B
Nadeem Khan","FOA BDS-3B (A,B+ AI)
Aleena Fayyaz","TOA BCS-3A
 Ubaidullah ",,,
E-30 Academic Block II (52),,"CCE BSBA-3A
Dr. Wajiha Raheeq","Entrep BSBA-7A 
Asiya Zaheer ","Entrep BSBA-7A 
Asiya Zaheer ",,"Intro to D. Sci BDS-3A
Mahrukh Khan","DS BDS-3A
Farooq Zaidi","LA BCS-3D
Urooj","COAL BCS-3D
Waseem Rauf "
